Early Access - Feb 26 through Mar 2 ,Completed?,,,Version Checker,,,Changelog - Old version updates found at bottom of sheet,,,
Log on to each character you plan on leveling so they start accumulating rested XP.,TRUE,,,Your Version,17,,"Version 15: Mar 3 update - removing references to early access and removing the housing quest from pre-season since it's not available. rares are one time rep bonuses, not weekly. ",,,
Level characters warmode on to 90 - DMF opens Sunday for 10% more exp. ,TRUE,,,Latest,17,,"Version 16: Cleaned up changes, temporarily removed crafting stuff until we get more info,  added 6x Hard Mode prey for Veteran crest recommendations, added 1600 pvp note for Season 1 Week 1, added link to discord, huge addon update with new features",,,
Complete the weekly Stormarion Assault in the Voidstorm. (It is available in Early Access),TRUE,,,Up to Date,,,Version 17: Sorry for two updates in one day but Blizzard has hotfixed in crest save achievements. Some crest advice adjustments.,,,
(Optional) Kill each rare once in each zone for renown. This is a one time bonus for each rare and does not reset weekly. ,TRUE,,,"When you first copy the sheet, it will say Loading... ",,,"Not Yet Implemented: Version 18: more wording updates, more specific crafting advice",,,
Hunt down each region's treasures for free Renown. Check guide for more info,TRUE,,,Updating any part of the sheet will check the version,,,,,,
Complete 4x Prey on normal difficulty for renown,TRUE,,,,,,,,,
Complete the Midnight Lore Hunter achievement for renown - Check guide for more info,TRUE,,Use this link to make a copy for yourself,,,,,,,
Complete the Highest Peaks achievement for renown - Check guide for more info,TRUE,,,,,,,,,
Complete side quest chains for renown. (can be done on alts to level at same time). DMF buff does not give renown.,TRUE,,Use this link to join Larias' Discord if you have questions or want up to date information,,,,,,,
Note: Only the Singularity AND Eversong champion items are available in early access - the others will become available either Monday after the official launch or after each region's weekly reset.,TRUE,,Raider's Guide link to where this information comes from,,,,,,,
Complete the weekly Saltheril’s Soiree in Eversong Woods. Don't forget to grab renown quest for the champion helmet if you have the renown ,TRUE,,,,,,,,,
Pre-Season Week 1 - March 3 - M0's,,,"If you find the checklist helpful, consider buying me a coffee! Thanks!
",,,,,,,
Save 160 Veteran crests for crafting 2x Veteran items with Embellishments (These do not take Sparks),FALSE,->,Dev from,Refined has created,an incredible in game checklist addon that,,,,,<--
Check Guide for what and when to craft.,FALSE,->,automatically updates whenever I update this sheet! ,,,,,,,<--
"If you are on an alt and don't see some of these quests, go to Soridormi in the Silvermoon City Inn and choose ""I Stopped the Voidstorm"" to skip the campaign.",FALSE,->,^,^,^,^,,^,^,<--
Raise The Singularity renown to rank 7 for 1/6 champion trinket - comes from a quest from the renown vendor,FALSE,,,,,,,Small addon feature! Don't waste your crests by accident!,,
